psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
17.793729910961314,25.68990477772658,0.68444960028403,0.881400106993593,0,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
27.591859182224603,31.400313523858927,0.9532307832216033,0.9743192209933035,1,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
28.514281677163723,28.081188975552646,0.9413507347370634,0.9464604856559161,2,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
20.99277020669254,27.029266784873247,0.8150476149228009,0.9221357440381923,3,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
20.929678901993825,26.668157905595955,0.82930760541836,0.9319684973565309,4,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
28.22232435353498,33.41449503386209,0.9112450423531028,0.9702360656680864,5,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
25.032645252809857,29.631938248520594,0.882710911425823,0.9682058087531539,6,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
20.309322269937567,28.208351699089043,0.7592019857545113,0.9224333574289864,7,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
27.081052258105935,35.01709908236654,0.7135391278170573,0.9524317794882252,8,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
22.685889240331395,29.631230187964988,0.8719862778439097,0.9637676261823606,9,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
24.90514589750392,29.377087645563016,0.8672309481615743,0.9400598768147809,10,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
24.978647434903674,29.84194804408995,0.8557004220555172,0.9572675892059124,11,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
17.80448297838049,24.538954188721863,0.761920993172886,0.9055402216806828,12,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
23.493660835060663,27.79624545278153,0.9229985370982289,0.9597271316151242,13,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
24.718554077320917,32.622101173891956,0.8528997754209566,0.9620701802188071,14,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
17.455203045936837,25.747692663126358,0.639165865146254,0.9180162921380216,15,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
19.725134757452494,28.36834935647343,0.6282735069938753,0.8403334067065864,16,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
17.95047941018227,24.280422342064835,0.8442709342227145,0.9415998852870852,17,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
28.75843435868213,32.651914638796804,0.9220862702497462,0.963999470449175,18,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
31.385365541540367,32.12350635304256,0.9571731816370722,0.9642212682960903,19,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
17.600836753876308,26.344359958852394,0.6639002246151411,0.9064214664686631,20,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
24.832525567340802,35.48249347173378,0.8172777316414876,0.9751401597641219,21,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
31.12823660297417,33.36810760077843,0.9427780800849351,0.9753054495554693,22,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
20.952698336969696,27.37459788287957,0.8321685742963343,0.9285142853284096,23,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
17.728392386870418,25.01483666878036,0.7610494269533413,0.9109658912685662,24,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
24.94607282133621,31.08242031068592,0.7985835784850513,0.9546073943805081,25,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
18.58947962594161,27.014659159220862,0.7182176885085828,0.9373950390955427,26,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
24.754663046301527,31.983638180833893,0.8403702076805599,0.9631779400789288,27,40,nestgan1,1,0,1,1,1,3,1,1,17,64,1
