psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
27.162674686520035,30.904279015814122,0.8514185430815956,0.9186017426550487,0,200,resgan5,2,0,1,1,1,20,64,1
29.179146551414377,31.22498593442738,0.902925464404881,0.9458207251720753,1,200,resgan5,2,0,1,1,1,20,64,1
24.163575947788626,28.978429602428136,0.8242748329965702,0.936836499750938,2,200,resgan5,2,0,1,1,1,20,64,1
35.30191718629406,34.439963742441506,0.9691868558020039,0.9786625476644422,3,200,resgan5,2,0,1,1,1,20,64,1
27.43739882857616,28.86402692251741,0.9300208841023384,0.9451662369477019,4,200,resgan5,2,0,1,1,1,20,64,1
32.79717137885123,30.00209209275787,0.9569468786971981,0.9728772063261267,5,200,resgan5,2,0,1,1,1,20,64,1
34.3682621966152,32.885710919664994,0.9615572055672598,0.9826906954003097,6,200,resgan5,2,0,1,1,1,20,64,1
26.252308634275305,29.34270503781951,0.8563224247206991,0.9265048871623917,7,200,resgan5,2,0,1,1,1,20,64,1
29.343768020790556,31.244705832835695,0.9241296849846529,0.9618441165385505,8,200,resgan5,2,0,1,1,1,20,64,1
27.05516177330633,30.379202912057934,0.8673336212076735,0.9214691469862043,9,200,resgan5,2,0,1,1,1,20,64,1
26.016134953551543,29.283098511486266,0.8685975579205044,0.921809003923137,10,200,resgan5,2,0,1,1,1,20,64,1
26.791150550791105,30.908000043651846,0.8546764037126896,0.9439496223159646,11,200,resgan5,2,0,1,1,1,20,64,1
