psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
26.5772049072796,34.44935528472709,0.8675203903712294,0.9698187832703075,0,20,resgan8,4,0,1,1,1,3,1,1,17,64,1
18.372304244461194,28.438626744550195,0.6312650628387392,0.9125618373394958,1,20,resgan8,4,0,1,1,1,3,1,1,17,64,1
23.89259260552418,29.727913971739458,0.8931052072038498,0.9496770915898791,2,20,resgan8,4,0,1,1,1,3,1,1,17,64,1
29.541183028663536,34.39364552163364,0.944937290949039,0.9771272377024179,3,20,resgan8,4,0,1,1,1,3,1,1,17,64,1
26.5772049072796,34.868018994914934,0.8675203903712294,0.9724505157746911,0,30,resgan8,4,0,1,1,1,3,1,1,17,64,1
18.372304244461194,28.649479183972964,0.6312650628387392,0.9263575295869622,1,30,resgan8,4,0,1,1,1,3,1,1,17,64,1
23.89259260552418,29.705756543729457,0.8931052072038498,0.9480284973542963,2,30,resgan8,4,0,1,1,1,3,1,1,17,64,1
29.541183028663536,34.41466394218739,0.944937290949039,0.9780613221103199,3,30,resgan8,4,0,1,1,1,3,1,1,17,64,1
26.5772049072796,34.92226646990241,0.8675203903712294,0.9722156401265599,0,40,resgan8,4,0,1,1,1,3,1,1,17,64,1
18.372304244461194,29.141918510729347,0.6312650628387392,0.9324023939341934,1,40,resgan8,4,0,1,1,1,3,1,1,17,64,1
23.89259260552418,29.534811939245408,0.8931052072038498,0.9489704976305955,2,40,resgan8,4,0,1,1,1,3,1,1,17,64,1
29.541183028663536,34.76074956293319,0.944937290949039,0.9778717393973303,3,40,resgan8,4,0,1,1,1,3,1,1,17,64,1
