psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
30.07588025852656,40.17570661088119,0.9186472276747493,0.9913137361393248,0,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.720638542316955,33.20015873153414,0.8228186707393647,0.9597631136721286,1,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.819224937395745,30.809260226655706,0.8665902392420533,0.962129080275767,2,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.508264010314672,22.575389752646405,0.7231762353653451,0.8336362824045868,3,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.881464557043714,29.567486042445417,0.8795015210039399,0.9470726275982981,4,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
28.059612589230486,35.12785929913201,0.8971057085014297,0.9704855087104018,5,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.728629326046324,28.86148341273456,0.9150603188526775,0.9515162574752205,6,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.525570058530267,23.828593779558744,0.6635405148289165,0.8629472620585089,7,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
32.143434382401054,37.1036005729653,0.9665309275425337,0.9887517889115133,8,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
19.79412769180716,27.517373240535036,0.6864446935618899,0.9257019939379996,9,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.491438986450298,25.326810029550103,0.4378520665497949,0.8333014867012846,10,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
21.1369246635422,27.79591771910581,0.7864483110568083,0.9240198068703812,11,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
23.96051468580321,30.971497937729403,0.8077578132003697,0.9461681652476654,12,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.444165611263717,22.01652047192699,0.7231276149437065,0.8588018942909557,13,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
19.262064227153942,25.713985798592923,0.6912561348303171,0.9001383309638458,14,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
29.595147103993575,33.65698267482996,0.9265786479712098,0.9862077802721694,15,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.31471528491588,27.858909056532273,0.8684191874339374,0.9180869551772113,16,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.20967648477024,30.217963446119725,0.8323671246732941,0.9483032100424323,17,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.26151845458631,23.413710669322974,0.5869528501529369,0.810595280638143,18,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.507862477892925,22.50011674660604,0.741615723965492,0.858116182991686,19,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.0996595980329,27.859487461466227,0.8704799670682847,0.930975854549918,20,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
28.989675677057264,34.064401510018726,0.9349830056683536,0.96809819360874,21,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
28.890940762756326,34.385674231645794,0.9347157488683195,0.9770321420316348,22,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
24.348457186796793,28.45096950276279,0.8760245019136065,0.9313316238629311,23,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
30.791987889729917,34.39211803896221,0.9643889360057223,0.9826768974668786,24,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
21.114307856190713,26.836730442765564,0.8098001119581291,0.9304370891292207,25,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.564556649014957,21.83392605027782,0.8160673718347425,0.8952626352770414,26,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.382989969420652,22.86471364100621,0.7217543848117073,0.868460164022296,27,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
30.043912608768522,33.54517520443989,0.9452928050849204,0.9812845144016827,28,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
17.350188912057366,23.616695959725437,0.6839998845790207,0.8843985447347112,29,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
29.9306486946001,33.60997068473201,0.9517121953253463,0.9783141277868204,30,40,nestgan1,0,0,1,1,1,3,1,1,17,64,1
