psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
27.162674686520035,32.46122679097339,0.8514185430815956,0.9478937587929422,0,200,resnet3,2,0,1,1,1,20,64,1
29.179146551414377,34.12206587417643,0.902925464404881,0.9704620716865041,1,200,resnet3,2,0,1,1,1,20,64,1
24.163575947788626,30.002433954972865,0.8242748329965702,0.9534612616463222,2,200,resnet3,2,0,1,1,1,20,64,1
35.30191718629406,37.65816670365767,0.9691868558020039,0.9866827964483488,3,200,resnet3,2,0,1,1,1,20,64,1
27.43739882857616,30.338742310913215,0.9300208841023384,0.9568562367334996,4,200,resnet3,2,0,1,1,1,20,64,1
32.79717137885123,32.15340612699454,0.9569468786971981,0.9790365693984322,5,200,resnet3,2,0,1,1,1,20,64,1
34.3682621966152,35.95851247995815,0.9615572055672598,0.9876869221442779,6,200,resnet3,2,0,1,1,1,20,64,1
26.252308634275305,30.95961355402565,0.8563224247206991,0.949616168311534,7,200,resnet3,2,0,1,1,1,20,64,1
29.343768020790556,33.682982836330034,0.9241296849846529,0.9754341450800808,8,200,resnet3,2,0,1,1,1,20,64,1
27.05516177330633,32.16610006002262,0.8673336212076735,0.9508677680023432,9,200,resnet3,2,0,1,1,1,20,64,1
26.016134953551543,29.79636367448153,0.8685975579205044,0.9354850919349182,10,200,resnet3,2,0,1,1,1,20,64,1
26.791150550791105,32.708897570916506,0.8546764037126896,0.9604594307160564,11,200,resnet3,2,0,1,1,1,20,64,1
27.162674686520035,32.46122679097339,0.8514185430815956,0.9478937587929422,0,200,resnet3,2,0,1,1,1,20,64,1
29.179146551414377,34.12206587417643,0.902925464404881,0.9704620716865041,1,200,resnet3,2,0,1,1,1,20,64,1
24.163575947788626,30.002433954972865,0.8242748329965702,0.9534612616463222,2,200,resnet3,2,0,1,1,1,20,64,1
35.30191718629406,37.65816670365767,0.9691868558020039,0.9866827964483488,3,200,resnet3,2,0,1,1,1,20,64,1
27.43739882857616,30.338742310913215,0.9300208841023384,0.9568562367334996,4,200,resnet3,2,0,1,1,1,20,64,1
32.79717137885123,32.15340612699454,0.9569468786971981,0.9790365693984322,5,200,resnet3,2,0,1,1,1,20,64,1
34.3682621966152,35.95851247995815,0.9615572055672598,0.9876869221442779,6,200,resnet3,2,0,1,1,1,20,64,1
26.252308634275305,30.95961355402565,0.8563224247206991,0.949616168311534,7,200,resnet3,2,0,1,1,1,20,64,1
29.343768020790556,33.682982836330034,0.9241296849846529,0.9754341450800808,8,200,resnet3,2,0,1,1,1,20,64,1
27.05516177330633,32.16610006002262,0.8673336212076735,0.9508677680023432,9,200,resnet3,2,0,1,1,1,20,64,1
26.016134953551543,29.79636367448153,0.8685975579205044,0.9354850919349182,10,200,resnet3,2,0,1,1,1,20,64,1
26.791150550791105,32.708897570916506,0.8546764037126896,0.9604594307160564,11,200,resnet3,2,0,1,1,1,20,64,1
