null,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
-1,2,500,resnet1,1,1,0,1,1,20,64,1
-1,0,500,resnet1,1,1,0,1,1,20,64,1
-1,0,600,resnet1,1,0,0,1,1,20,64,1
-1,1,600,resnet1,1,0,0,1,1,20,64,1
-1,2,600,resnet1,1,0,0,1,1,20,64,1
-1,3,600,resnet1,1,0,0,1,1,20,64,1
