psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
27.162674686520035,32.03154881146832,0.8514185430815956,0.9387903194993471,0,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
29.179146551414377,34.39963414334716,0.902925464404881,0.9694592030251319,1,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
24.163575947788626,28.997657409621567,0.8242748329965702,0.9433733288514631,2,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
35.30191718629406,38.754432550635414,0.9691868558020039,0.9869362272358809,3,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
27.43739882857616,29.974712880341894,0.9300208841023384,0.957285517097001,4,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
32.79717137885123,34.05495597153104,0.9569468786971981,0.9786082382348856,5,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
34.3682621966152,37.462021281467315,0.9615572055672598,0.9846090087008537,6,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
26.252308634275305,29.78495954337631,0.8563224247206991,0.9343668026358669,7,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
29.343768020790556,32.294173137314964,0.9241296849846529,0.9607851919856633,8,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
27.05516177330633,31.413960873558104,0.8673336212076735,0.9480686307675108,9,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
26.016134953551543,30.69878817003136,0.8685975579205044,0.9433045866288677,10,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
26.791150550791105,32.147800614795756,0.8546764037126896,0.9548997029582355,11,40,nestgan1,2,0,1,1,1,3,1,1,17,64,1
