psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,input_channels,deepsupervision,residual,num_of_layers,features,rain_type
22.728128102815198,36.28474044382744,0.769291572197163,0.9766412728483808,0,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
23.866392640590046,32.97215350506914,0.7780993545514563,0.9471484605885528,1,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
28.3837660679267,32.44424456374483,0.9191924678280313,0.9788600101498046,2,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
20.8239097128557,26.6636482273993,0.8306693466046243,0.884429311437838,3,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
30.218027072793312,29.535767975319448,0.9612508118959076,0.9699412332312137,4,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.71990560051514,31.601575132850023,0.8316535993721129,0.9526799627955747,5,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
23.222008720619222,28.544359729862563,0.9089910973294764,0.9439365186358213,6,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
20.717582253080362,28.885254932512492,0.7815780768537021,0.924358109062111,7,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.11521153761496,32.86119836207439,0.9152712395731365,0.9778601133610664,8,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.08882076287908,33.263981704912624,0.8645813484581216,0.968403548422763,9,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.86711859170122,36.522888063104574,0.7599051299753273,0.9673867826159724,10,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
21.467613131034298,30.79417207486483,0.8214478133424392,0.9532664269362826,11,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
22.18680144209818,30.56528697602825,0.8359248564040641,0.9477179231239873,12,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
20.01144551210281,27.611874101242844,0.782121042917273,0.9222345107463826,13,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
18.797478960175336,26.650504366492566,0.6654295913547755,0.9105000226599783,14,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.82452868928232,30.704427048520845,0.8727683927080685,0.9669115110754567,15,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.71580272304859,29.547925356531458,0.8887207801942237,0.9406923974766309,16,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.63589976894115,26.325658186175424,0.6791956253253276,0.9141412944341396,17,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.368669184044435,30.725504119251738,0.804188554491013,0.9362359782181177,18,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.552379989925956,29.657689875112084,0.8873905850041357,0.9416289263663339,19,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
20.557339389466662,27.37309239370825,0.8332238336110166,0.9149350953410694,20,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.880471828179118,32.24944761727106,0.8574950621009574,0.9562905950552895,21,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.853308006703987,26.572536028984366,0.6837390633318262,0.910561549512788,22,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
28.370852348432813,30.431129478788236,0.9371629674235181,0.9612582399712624,23,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
30.586172272882447,31.987681751084548,0.9616305807113026,0.9778912788685448,24,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.516131685307425,26.663057965885294,0.698650727091905,0.9241184146830986,25,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.78654508750744,30.006022927392777,0.9504646916281178,0.9634306031021618,26,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
29.703301285974813,31.529710599929285,0.9432981066999105,0.9657283459797074,27,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
29.708986563105245,29.93376510676609,0.9445978572852999,0.9757655456293547,28,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
21.416995660729388,30.16320638506976,0.8207788982917238,0.9441214849358968,29,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.338023967266224,28.689089083454945,0.8918559553512756,0.9586534507286553,30,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.72826393020585,24.354925605509216,0.7603959453616974,0.8913525035881443,31,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
30.478067865231772,31.216562575942643,0.9515142788636602,0.9739756276303321,32,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.997294803038983,27.675019522639303,0.6862339977922618,0.9195405008238167,33,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
19.836745083452097,32.2614688108079,0.6593560111474281,0.9404987524212457,34,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.409496664464346,27.774742066742956,0.6562197133202488,0.9111892353306659,35,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
26.02776307288199,27.348314020206985,0.9252551013177547,0.9566037568176577,36,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
25.280540690564756,33.14795556145009,0.9201472327595458,0.9744425938371079,37,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.64854806612374,30.539512323208356,0.8767471453795986,0.956680787450671,38,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
26.40839776606032,30.17749299476558,0.8979778201700147,0.9582986921128729,39,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
19.601371022718208,29.05650780623305,0.7264767241342313,0.9350940121922529,40,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.927717404909814,31.466814639356464,0.8982680062916916,0.9605527497985191,41,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.669031444756452,27.58286503073284,0.7314341485595331,0.9405983762576208,42,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
22.628718529894268,30.7095761450508,0.8640515653012469,0.9453043766743985,43,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.65720894390808,33.19363889380295,0.8821460621749774,0.9692340978496294,44,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.796343425978794,31.043729849750527,0.87685749762171,0.9587153053053955,45,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.634941255063353,27.288967965977506,0.7143459842311161,0.917770240834389,46,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.586285146974795,25.10277348024287,0.7828756134755057,0.9206854761074562,47,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.676822295036093,28.431332891814165,0.6089342406620142,0.9181812391819753,48,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
21.325056430181988,29.198860387338918,0.7865326831056493,0.9316689388375438,49,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
28.627694234568537,34.28508702866482,0.9150436117692479,0.9734123106684084,50,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
24.819486263521977,30.049610278612853,0.8995177473502872,0.9689951755007703,51,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
17.59526473144334,24.187853125954888,0.7156557337745628,0.8676724094259205,52,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
27.646464987482698,31.07095900881859,0.9127003480707033,0.9617274863264501,53,30,resgan8,0,0,1,1,1,3,1,1,17,64,1
