psnr_rain,psnr,ssim_rain,ssim,test_image,epoch,train_name,file_id,imshow,synthetic,save_image,save_result,num_of_layers,features,rain_type
18.372304244461194,28.695228100760843,0.6312650628387392,0.9274772900710767,1,200,resnet1,4,1,1,1,1,20,64,1
18.372304244461194,28.663347101273775,0.6312650628387392,0.9337783076388045,1,500,resnet1,4,1,1,1,1,20,64,1
29.541183028663536,33.76542239908753,0.944937290949039,0.9777218466207662,3,500,resnet1,4,1,1,1,1,20,64,1
23.89259260552418,29.166415041080032,0.8931052072038498,0.947563454219554,2,500,resnet1,4,1,1,1,1,20,64,1
26.5772049072796,35.414408177939144,0.8675203903712294,0.974733873893704,0,500,resnet1,4,1,1,1,1,20,64,1
26.5772049072796,34.92528135675694,0.8675203903712294,0.9720741740460804,0,600,resnet1,4,0,1,1,1,20,64,1
18.372304244461194,27.541039644408034,0.6312650628387392,0.924467925921321,1,600,resnet1,4,0,1,1,1,20,64,1
23.89259260552418,29.571653897149336,0.8931052072038498,0.9551748694456608,2,600,resnet1,4,0,1,1,1,20,64,1
29.541183028663536,34.50531235436925,0.944937290949039,0.9802276572190527,3,600,resnet1,4,0,1,1,1,20,64,1
29.541183028663536,34.50531235436925,0.944937290949039,0.9802276572190527,3,600,resnet1,4,1,1,1,1,20,64,1
26.5772049072796,34.92528135675694,0.8675203903712294,0.9720741740460804,4,600,resnet1,4,1,1,1,1,20,64,1
29.541183028663536,34.50531235436925,0.944937290949039,0.9802276572190527,3,600,resnet1,4,1,1,1,1,20,64,1
